code,name,state,territory,country,quiz,latitude,longitude,population,national_capital,state_capital,manually_added,nicknames,db_match
paraguay-2781,3° Zona,San Pedro,,Paraguay,south-america,-23.6994486,-56.635761,264,0,0,0,Tercera Zona,
paraguay-4732,30 de Abril,San Pedro,,Paraguay,south-america,-24.0125707,-56.1743387,109,0,0,0,Treinta de Abril,
paraguay-3448,360 Hectáreas,Alto Paraná,,Paraguay,south-america,-25.8718144,-54.6255957,200,0,0,0,,
paraguay-5601,4 Bocas,San Pedro,,Paraguay,south-america,-24.1910664,-56.5413473,56,0,0,0,Cuatro Bocas,
paraguay-4896,4 de Julio,Cordillera,,Paraguay,south-america,-25.4788069,-56.9885165,99,0,0,0,Cuatro de Julio,
paraguay-2289,4 de Mayo,San Pedro,,Paraguay,south-america,-24.7303546,-55.9932397,331,0,0,0,Cuatro de Mayo,
paraguay-5118,4 de Mayo 2,San Pedro,,Paraguay,south-america,-24.7047957,-56.0469392,85,0,0,0,Cuatro de Mayo 2,
paraguay-5222,4 de Octubre,Caaguazú,,Paraguay,south-america,-25.1959906,-55.6310524,79,0,0,0,Cuatro de Octubre,
paraguay-3373,4 Mil Mbarete,San Pedro,,Paraguay,south-america,-24.393305,-56.6467368,206,0,0,0,Cuatro Mil Mbarete,
paraguay-569,4 Potrero,Itapúa,,Paraguay,south-america,-27.2282552,-55.879008,908,0,0,0,Cuatro Potrero,
paraguay-5691,4 Puentes,Itapúa,,Paraguay,south-america,-26.5566925,-55.7153868,50,0,0,0,Cuatro Puentes,
paraguay-2529,4 Vientos,San Pedro,,Paraguay,south-america,-24.3387555,-56.7683019,297,0,0,0,Cuatro Vientos,
paraguay-4249,4° Asentamiento Colonia Libertad,Itapúa,,Paraguay,south-america,-26.6067854,-54.8907286,141,0,0,0,Cuarto Asentamiento Colonia Libertad,
paraguay-4220,4° Línea Agua,Caaguazú,,Paraguay,south-america,-25.395011,-56.0744637,143,0,0,0,Cuarta Línea Agua,
paraguay-2316,4° Línea Balanza,Caaguazú,,Paraguay,south-america,-25.5370844,-56.1705588,327,0,0,0,Cuarta Línea Balanza,
paraguay-3902,4° Línea Caballero Alvarez,Caaguazú,,Paraguay,south-america,-25.6087631,-55.9104383,166,0,0,0,Cuarta Línea Caballero Alvarez,
paraguay-1775,4° Línea Chacore,Caaguazú,,Paraguay,south-america,-25.5541138,-55.7894938,409,0,0,0,Cuarta Línea Chacore,
paraguay-1435,4° Línea Eugenio A. Garay,Caaguazú,,Paraguay,south-america,-25.5771831,-56.0099493,483,0,0,0,Cuarta Línea Eugenio A. Garay,
paraguay-4098,4° Línea Mariscal López,Caaguazú,,Paraguay,south-america,-24.8620507,-55.865248,152,0,0,0,Cuarta Línea Mariscal López,
paraguay-5038,4° Línea Santa Catalina,Caaguazú,,Paraguay,south-america,-24.9017566,-55.8231144,90,0,0,0,Cuarta Línea Santa Catalina,
paraguay-1585,4000 Tacuapi,San Pedro,,Paraguay,south-america,-24.5618022,-56.4878273,447,0,0,0,,
paraguay-3562,5° Encuadre 1° Línea,Canindeyú,,Paraguay,south-america,-24.1291756,-56.0393589,191,0,0,0,Quinto Encuadre 1° Línea,
paraguay-3827,5° Encuadre Maracaná,Canindeyú,,Paraguay,south-america,-24.1356776,-56.0254443,171,0,0,0,Quinto Encuadre Maracaná,
paraguay-2312,5° Línea,Itapúa,,Paraguay,south-america,-26.3194758,-54.7225237,328,0,0,0,Quinta Línea,
paraguay-6079,5° Línea Acepar,Canindeyú,,Paraguay,south-america,-24.6615684,-55.7512368,20,0,0,0,Quinta Línea Acepar,
paraguay-4530,5° Línea Agua,Caaguazú,,Paraguay,south-america,-25.37575,-56.0598486,122,0,0,0,Quinta Línea Agua,
paraguay-1911,5° Línea Balanza,Caaguazú,,Paraguay,south-america,-25.531896,-56.1436147,385,0,0,0,Quinta Línea Balanza,
paraguay-4962,5° Línea General Delgado,Caaguazú,,Paraguay,south-america,-25.6285052,-55.887741,95,0,0,0,Quinta Línea General Delgado,
paraguay-2900,5° Línea Iturbe,Caaguazú,,Paraguay,south-america,-25.5899951,-55.9460208,250,0,0,0,Quinta Línea Iturbe,
paraguay-4897,6 de Agosto,Concepción,,Paraguay,south-america,-23.4101235,-57.250651,99,0,0,0,Seis de Agosto,
paraguay-2014,6 de Enero,Canindeyú,,Paraguay,south-america,-24.4954264,-55.8860902,370,0,0,0,Seis de Enero,
paraguay-2383,6 de Enero,San Pedro,,Paraguay,south-america,-23.5166314,-56.7465146,316,0,0,0,Seis de Enero,
paraguay-3849,6 de Enero,San Pedro,,Paraguay,south-america,-24.2730561,-56.5783505,169,0,0,0,Seis de Enero,
paraguay-4036,6 de Enero,Canindeyú,,Paraguay,south-america,-24.1043419,-54.6447456,156,0,0,0,Seis de Enero,
paraguay-4255,6 de Enero 1,Concepción,,Paraguay,south-america,-23.1281257,-56.4881226,141,0,0,0,Seis de Enero 1,
paraguay-3722,6 de Enero 2,Concepción,,Paraguay,south-america,-22.8577184,-56.3778783,180,0,0,0,Seis de Enero 2,
paraguay-2951,6° Encuadre 1° Línea,Canindeyú,,Paraguay,south-america,-24.100586,-56.0371872,246,0,0,0,Sexto Encuadre 1° Línea,
paraguay-4325,6° Línea Agua,Caaguazú,,Paraguay,south-america,-25.3729738,-56.0782744,135,0,0,0,Sexta Línea Agua,
paraguay-4515,6° Línea General Delgado,Caaguazú,,Paraguay,south-america,-25.6072441,-55.9471562,123,0,0,0,Sexta Línea General Delgado,
paraguay-2603,6° Mariscal López,Caaguazú,,Paraguay,south-america,-24.8529084,-55.9192965,287,0,0,0,Sexta Mariscal López,
paraguay-136,7 de Agosto,Itapúa,,Paraguay,south-america,-26.3929902,-54.8286822,2885,0,0,0,Siete de Agosto,
paraguay-567,7 Montes,Canindeyú,,Paraguay,south-america,-24.2423618,-55.7263098,909,0,0,0,Siete Montes,
paraguay-4872,7° Línea Guaira,Caaguazú,,Paraguay,south-america,-25.3931741,-56.1045169,100,0,0,0,Séptima Línea Guaira,
paraguay-634,8 de Diciembre,Central,,Paraguay,south-america,-25.4365984,-57.5129123,848,0,0,0,Ocho de Diciembre,
paraguay-961,8 de Diciembre,Cordillera,,Paraguay,south-america,-25.188528,-56.9539574,635,0,0,0,Ocho de Diciembre,
paraguay-1041,8 de Diciembre,Itapúa,,Paraguay,south-america,-26.430666,-55.2482067,605,0,0,0,Ocho de Diciembre,
paraguay-1547,8 de Diciembre,Itapúa,,Paraguay,south-america,-27.2870547,-55.9120726,453,0,0,0,Ocho de Diciembre,
paraguay-1602,8 de Diciembre,Cordillera,,Paraguay,south-america,-24.9688991,-56.7009294,443,0,0,0,Ocho de Diciembre,
paraguay-1879,8 de Diciembre,San Pedro,,Paraguay,south-america,-24.812718,-56.0155372,390,0,0,0,Ocho de Diciembre,
paraguay-1881,8 de Diciembre,Itapúa,,Paraguay,south-america,-26.5762228,-54.9130628,390,0,0,0,Ocho de Diciembre,
paraguay-1966,8 de Diciembre,Alto Paraná,,Paraguay,south-america,-25.3653198,-55.3213273,378,0,0,0,Ocho de Diciembre,
paraguay-2295,8 de Diciembre,Itapúa,,Paraguay,south-america,-27.3036194,-55.9435565,330,0,0,0,Ocho de Diciembre,
paraguay-2544,8 de Diciembre,Itapúa,,Paraguay,south-america,-27.0499367,-55.7068277,295,0,0,0,Ocho de Diciembre,
paraguay-2845,8 de Diciembre,Alto Paraná,,Paraguay,south-america,-24.7617677,-54.6782647,257,0,0,0,Ocho de Diciembre,
paraguay-2920,8 de Diciembre,Caaguazú,,Paraguay,south-america,-25.331235,-55.787967,248,0,0,0,Ocho de Diciembre,
paraguay-2997,8 de Diciembre,Ñeembucú,,Paraguay,south-america,-26.7018809,-57.8930983,243,0,0,0,Ocho de Diciembre,
paraguay-3216,8 de Diciembre,Concepción,,Paraguay,south-america,-23.3887564,-57.1772009,222,0,0,0,Ocho de Diciembre,
paraguay-3290,8 de Diciembre,Alto Paraná,,Paraguay,south-america,-25.4541301,-55.2562935,214,0,0,0,Ocho de Diciembre,
