name,cyrillic_name,population,latitude,longitude,state,country,percentageOfSessions
Ḩoit,Ҳоит,5140,39.1770553,70.8796118,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Saro,Саро,5135,40.6931825,70.2850961,Suġd,Tajikistan,
Lolazor,Лолазор,5102,40.0641151,69.2198701,Suġd,Tajikistan,
Obodī,Ободӣ,5102,39.8361763,68.8350899,Suġd,Tajikistan,
Zarafšon,Зарафшон,5088,38.5884648,68.9704253,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Sūçina,Сӯҷина,5083,39.4903123,67.7206211,Suġd,Tajikistan,
Zarkoron,Заркорон,5074,37.826826,69.6334754,Hatlon,Tajikistan,
Istiķlol,Истиқлол,5069,37.3456623,68.666132,Hatlon,Tajikistan,
Konstitutsiâ,Конститутсия,5069,38.5396218,68.7183788,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Roḩi Sotsializm,Роҳи Сотсиализм,5059,37.947739,68.8381869,Hatlon,Tajikistan,
Obimukī,Обимукӣ,5053,38.2016417,69.027108,Hatlon,Tajikistan,
Uâs,Уяс,5052,40.3651469,69.9180641,Suġd,Tajikistan,
Šaḩrinav,Шаҳринав,5049,37.5838209,68.4734986,Hatlon,Tajikistan,
Sabzavot,Сабзавот,5045,37.8484719,68.8593896,Hatlon,Tajikistan,
Gulobod,Гулобод,5025,37.7215275,69.5158771,Hatlon,Tajikistan,
Obšoron,Обшорон,5011,37.903537,68.8686772,Hatlon,Tajikistan,
Beškappa,Бешкаппа,5000,37.2306275,68.0180157,Hatlon,Tajikistan,
Dokkī,Доккӣ,4996,37.3208761,68.1876292,Hatlon,Tajikistan,
Hoçai A'lo,Хоҷаи Аъло,4988,39.9409486,70.4962375,Suġd,Tajikistan,
Šaḩriston,Шаҳристон,4985,39.77231,68.8123859,Suġd,Tajikistan,
Abasto,Абасто,4983,37.2033423,68.2112041,Hatlon,Tajikistan,
Zarnisor,Зарнисор,4978,39.9385356,69.1499801,Suġd,Tajikistan,
Lohur,Лохур,4945,38.381666,68.7036228,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Hušobiën,Хушобиён,4940,37.8293488,68.8358828,Hatlon,Tajikistan,
Šohob,Шохоб,4925,37.3638722,68.1845212,Hatlon,Tajikistan,
Zarafšon,Зарафшон,4918,40.1332077,69.5910433,Suġd,Tajikistan,
Çigda,Ҷигда,4907,40.7125261,70.6086152,Suġd,Tajikistan,
Roḩi Nav,Роҳи Нав,4888,37.2196368,68.19416,Hatlon,Tajikistan,
Sultonobod,Султонобод,4888,37.6347075,68.1343109,Hatlon,Tajikistan,
Guliston,Гулистон,4887,37.1661794,68.223739,Hatlon,Tajikistan,
Daḩana,Даҳана,4881,38.3348482,68.984316,Hatlon,Tajikistan,
Čorâkkoron,Чоряккорон,4851,38.5760373,68.6890914,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Navbaḩor,Навбаҳор,4846,38.5175222,68.7291206,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Tugarak,Тугарак,4840,37.8049114,69.6761734,Hatlon,Tajikistan,
Saidnazar Hudojkulob,Саидназар Худойкулоб,4835,37.1320414,68.2301334,Hatlon,Tajikistan,
Lajlakuâ,Лайлакуя,4796,37.2929598,68.1846392,Hatlon,Tajikistan,
Maḩallaiâsī,Маҳаллаиясӣ,4769,39.8986914,68.98066,Suġd,Tajikistan,
Ġuriët,Ғуриёт,4768,38.579198,68.5293779,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Tosķal'a,Тосқалъа,4751,37.9243312,69.5855332,Hatlon,Tajikistan,
Somoniën,Сомониён,4736,37.6112617,69.5621868,Hatlon,Tajikistan,
Kujbišev,Куйбишев,4714,37.8486749,68.6705647,Hatlon,Tajikistan,
Lolazor,Лолазор,4693,37.238424,68.1511252,Hatlon,Tajikistan,
Sajëd,Сайёд,4688,37.213227,68.1483918,Hatlon,Tajikistan,
Mirzoobod,Мирзообод,4669,37.9542782,68.8335657,Hatlon,Tajikistan,
Toib Tūjčiev,Тоиб Тӯйчиев,4665,38.4837379,68.2429334,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Būstonī,Бӯстонӣ,4655,38.2624403,69.0389938,Hatlon,Tajikistan,
Ortiķ Çum'aev,Ортиқ Ҷумъаев,4653,38.4901013,68.1212065,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Šūrča,Шӯрча,4645,38.2567,68.8929013,Hatlon,Tajikistan,
Abduraḩmoni Çomī,Абдураҳмони Ҷомӣ,4642,37.7965727,68.6321768,Hatlon,Tajikistan,
Rūšon,Рӯшон,4640,37.9450409,71.5583146,Kūḩistoni Badahšon,Tajikistan,
Ḩazorčašma,Ҳазорчашма,4630,39.8908349,69.1475494,Suġd,Tajikistan,
Sulḩobod,Сулҳобод,4623,37.7929071,69.662655,Hatlon,Tajikistan,
Loḩutī,Лоҳутӣ,4612,37.4126098,68.6830637,Hatlon,Tajikistan,
Telman,Телман,4610,37.4128887,68.6174343,Hatlon,Tajikistan,
Šarķ,Шарқ,4607,38.4263449,68.1574214,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Puličuķur,Пуличуқур,4606,40.2881989,69.6361592,Suġd,Tajikistan,
Navobod,Навобод,4602,38.5927944,68.329205,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Dašt,Дашт,4600,39.4820321,67.7094202,Suġd,Tajikistan,
Ittifoķ,Иттифоқ,4564,37.6734714,68.6012808,Hatlon,Tajikistan,
Ḩosilobod,Ҳосилобод,4555,37.7977211,68.8979572,Hatlon,Tajikistan,
Orzu,Орзу,4542,37.4343703,68.6712952,Hatlon,Tajikistan,
Çirgatol,Ҷиргатол,4531,39.2183728,71.1911798,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Zafar,Зафар,4527,38.2025196,68.90062,Hatlon,Tajikistan,
Vahš,Вахш,4525,37.3892036,68.6058779,Hatlon,Tajikistan,
Ķūrġonča,Қӯрғонча,4510,39.9610719,69.4901894,Suġd,Tajikistan,
Darķad,Дарқад,4510,37.4994932,69.4194801,Hatlon,Tajikistan,
Čorboġ,Чорбоғ,4506,37.8595503,69.6192022,Hatlon,Tajikistan,
Maksim Gorkij,Максим Горкий,4504,37.5944533,68.6339423,Hatlon,Tajikistan,
Selga,Селга,4486,37.2142614,69.1691823,Hatlon,Tajikistan,
Sarob,Сароб,4480,38.5113849,68.8561787,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
