name,population,latitude,longitude,state,country,percentageOfSessions
Otuz-Adyr,6960,40.6034,72.96592,Oš,Kyrgyzstan,
Safedbulan,6899,41.429315,71.657407,Žalal-Abad,Kyrgyzstan,
Frunze [bôlùgù],6870,40.268333,72.610311,Oš,Kyrgyzstan,
Myrza-Aryk,6853,40.72488,73.212722,Oš,Kyrgyzstan,
Daroot-Korgon,6844,39.55213,72.20175,Oš,Kyrgyzstan,
Birinči Maj,6816,40.633489,73.7047,Oš,Kyrgyzstan,
Kara-Žygač,6811,42.80774,74.7084,Čùj,Kyrgyzstan,
Ak-Bulak,6807,40.2730998,72.1227263,Batken,Kyrgyzstan,
Baâstan,6802,41.325757,71.584095,Žalal-Abad,Kyrgyzstan,
Borbaš,6781,40.263737,72.509222,Oš,Kyrgyzstan,
Ken̦-Saj,6780,40.70666,72.90465,Oš,Kyrgyzstan,
Ak-Bulak,6760,40.206521,72.705298,Oš,Kyrgyzstan,
Čymgent,6733,42.621829,71.52188,Talas,Kyrgyzstan,
Kyzyl-Šark,6687,40.72426,72.93193,Oš,Kyrgyzstan,
Tôlôjkôn [bôlùgù],6674,40.4820001,72.8261004,Oš City,Kyrgyzstan,
Šamaldy-Saj,6661,41.17194,72.18611,Žalal-Abad,Kyrgyzstan,
Kyrgyz-Ata,6627,40.188397,72.675827,Oš,Kyrgyzstan,
Alekseevka,6616,42.81706,73.81577,Čùj,Kyrgyzstan,
Blagoveŝenka,6610,40.983216,72.964334,Žalal-Abad,Kyrgyzstan,
Amanbaev,6532,42.615334,71.20334,Talas,Kyrgyzstan,
Orke,6476,40.4814255,72.7256211,Oš City,Kyrgyzstan,
Žen̦iš (Halmion),6473,40.21224,71.63279,Batken,Kyrgyzstan,
Madaniât,6408,40.58333,72.85715,Oš,Kyrgyzstan,
Boo-Terek,6407,42.573204,71.822522,Talas,Kyrgyzstan,
Žan̦y-Žer,6383,43.10783,74.38327,Čùj,Kyrgyzstan,
Ajrybaz (Markaz),6372,40.24164,71.90837,Batken,Kyrgyzstan,
Žandama,6363,40.244036,72.525805,Oš,Kyrgyzstan,
Kyzyl-Tuu,6336,42.80714,74.37504,Čùj,Kyrgyzstan,
Gùlstan,6334,40.264812,72.567645,Oš,Kyrgyzstan,
Kôčùbaev,6306,40.488006,72.452297,Oš,Kyrgyzstan,
Torkent,6284,41.840895,73.156605,Žalal-Abad,Kyrgyzstan,
Kyrgyz-Ček,6256,40.54812,72.86983,Oš,Kyrgyzstan,
