name,population,latitude,longitude,state,country,percentageOfSessions,,,,
Avintes,10836,41.10534654,-8.547154627,,Portugal,,,,,
Cartaxo,10680,39.16312899,-8.787105637,,Portugal,,,,,
Portela,10656,38.78403606,-9.112867832,,Portugal,,,,,
Sacavém,10650,38.79413046,-9.109765213,,Portugal,,,,,
Ovar,10649,40.86222286,-8.634631352,,Portugal,,,,,
Grijó,10626,41.02783702,-8.579452144,,Portugal,,,,,
Fátima,10533,39.62681031,-8.671196825,,Portugal,,,,,
Miratejo,10502,38.64889761,-9.145409404,,Portugal,,,,,
Santa Marta,10472,38.62831994,-9.150157905,,Portugal,,,,,
Forte da Casa,10466,38.87261974,-9.049337617,,Portugal,,,,,
Paços de Ferreira,10462,41.27753894,-8.376567223,,Portugal,,,,,
Marco de Canaveses,10308,41.18249906,-8.145784616,,Portugal,,,,,
Lousada,10305,41.27141204,-8.283803372,,Portugal,,,,,
Aldeia de Paio Pires,10277,38.61984042,-9.084218876,,Portugal,,,,,
Serra das Minas,10185,38.78519998,-9.333669934,,Portugal,,,,,
Figueira da Foz,9991,40.15241368,-8.855107522,,Portugal,,,,,
Nazaré,9931,39.60140297,-9.069290753,,Portugal,,,,,
Queijas,9638,38.71946781,-9.261375027,,Portugal,,,,,
Ericeira,9614,38.97060376,-9.411761529,,Portugal,,,,,
Tires,9518,38.72101878,-9.351413196,,Portugal,,,,,
Corroios,9460,38.6391944,-9.150828613,,Portugal,,,,,
Lavradio,9375,38.67171322,-9.053301319,,Portugal,,,,,
Moscavide,9266,38.77886448,-9.102556151,,Portugal,,,,,
Vila Franca de Xira,9248,38.95797482,-8.987593023,,Portugal,,,,,
Vendas Novas,9246,38.67762924,-8.465502122,,Portugal,,,,,
Vale da Amoreira,9159,38.64388185,-9.03513114,,Portugal,,,,,
Campo,9142,41.1762399,-8.462935828,,Portugal,,,,,
Lordelo,9051,41.23732422,-8.418054401,,Portugal,,,,,
Ribeirão,9027,41.35738155,-8.560755143,,Portugal,,,,,
Guifões,9019,41.20360496,-8.6665215,,Portugal,,,,,
Arrentela,8951,38.62903111,-9.099586045,,Portugal,,,,,
Amora,8884,38.6296525,-9.118183497,,Portugal,,,,,
Pontinha,8772,38.76629438,-9.200576662,,Portugal,,,,,
Afonsoeiro,8759,38.70069233,-8.952209213,,Portugal,,,,,
Parede,8631,38.69077651,-9.354033807,,Portugal,,,,,
Peso da Régua,8628,41.16673507,-7.794350689,,Portugal,,,,,
Miraflores,8590,38.71031318,-9.227081364,,Portugal,,,,,
Macedo de Cavaleiros,8473,41.53758874,-6.963478241,,Portugal,,,,,
Rio de Mouro,8467,38.77726435,-9.322622509,,Portugal,,,,,
Vila Nova de Santo André,8436,38.05844602,-8.785625634,,Portugal,,,,,
Cascais,8421,38.69951894,-9.422418641,,Portugal,,,,,
Rebordosa,8414,41.21875088,-8.411684749,,Portugal,,,,,
Benavente,8407,38.96552649,-8.812838928,,Portugal,,,,,
Montemor-o-Novo,8356,38.64536497,-8.211704639,,Portugal,,,,,
Argoncilhe,8181,41.01965821,-8.540026295,,Portugal,,,,,
Aroeira,8139,38.5828179,-9.17727152,,Portugal,,,,,
Cavaleira,8058,38.80556774,-9.353416073,,Portugal,,,,,
Lourosa,8003,40.9820103,-8.543840224,,Portugal,,,,,
Darque,7982,41.68200413,-8.800444657,,Portugal,,,,,
Vila das Aves,7946,41.36828631,-8.40774815,,Portugal,,,,,
Vila do Coronado,7936,41.2767661,-8.563096501,,Portugal,,,,,
