name,population,latitude,longitude,state,country,status
Ebreichsdorf,5522,47.9630951,16.4019269,Niederösterreich,Austria,
Haag,5465,48.2700776,14.267804,Oberösterreich,Austria,
Horn,5438,48.66607,15.65716,Niederösterreich,Austria,
Hart bei Graz,5414,47.06617,15.51722,Steiermark,Austria,
Laahen,5372,48.1718707,14.0065799,Oberösterreich,Austria,
Kirchberg in Tirol,5361,47.4477519,12.3151773,Tirol,Austria,
Deuchendorf,5352,47.46562,15.32233,Steiermark,Austria,
Kindberg,5341,47.5054727,15.4491151,Steiermark,Austria,
Neuzeug,5329,48.0341339,14.3282318,Oberösterreich,Austria,
Sollenau,5323,47.8973234,16.2499999,Niederösterreich,Austria,
Leopoldsdorf,5288,48.1139758,16.3941627,Niederösterreich,Austria,
Judendorf,5267,47.3879322,15.1049869,Steiermark,Austria,
Axams,5223,47.2303585,11.279549,Tirol,Austria,
Parndorf,5209,47.9948905,16.8575696,Burgenland,Austria,
Leobersdorf,5118,47.9271611,16.2160793,Niederösterreich,Austria,
Oberhaid,5070,48.1762313,14.0150694,Oberösterreich,Austria,
Eggendorf,5046,47.85821,16.3223,Niederösterreich,Austria,
Gablitz,5006,48.2310657,16.1485434,Niederösterreich,Austria,
Henndorf am Wallersee,4996,47.9159109,13.1773205,Salzburg,Austria,
Bürmoos,4963,47.9837348,12.9202391,Salzburg,Austria,
Pottschach,4948,47.7021318,16.011635,Niederösterreich,Austria,
Oberwaltersdorf,4943,47.9752446,16.323613,Niederösterreich,Austria,
Nüziders,4937,47.1713077,9.8010529,Vorarlberg,Austria,
Pottendorf,4900,47.911426,16.3881078,Niederösterreich,Austria,
Neustift im Stubaital,4882,47.1090461,11.3052459,Tirol,Austria,
Neudörfl,4853,47.7962474,16.2971102,Burgenland,Austria,
Koblach,4831,47.3300465,9.6018907,Vorarlberg,Austria,
Feldbach,4825,46.95279,15.88784,Steiermark,Austria,
Längenfeld,4811,47.07408,10.97106,Tirol,Austria,
Laa an der Thaya,4774,48.7188061,16.3874981,Niederösterreich,Austria,
Langenlois,4748,48.4738543,15.6928431,Niederösterreich,Austria,
Sankt Johann im Pongau,4741,47.34892,13.20419,Salzburg,Austria,
Vasoldsberg,4731,47.0157489,15.5570805,Steiermark,Austria,
Gloggnitz,4716,47.6744454,15.9420188,Niederösterreich,Austria,
Kirchdorf an der Krems,4711,47.90626,14.11983,Oberösterreich,Austria,
Neumarkt am Wallersee,4700,47.9159109,13.1773205,Salzburg,Austria,
Völkermarkt,4693,46.66207,14.63359,Kärnten,Austria,
Bernardin,4651,48.1603311,14.0081772,Oberösterreich,Austria,
Mils,4625,47.2866563,11.5347486,Tirol,Austria,
Schwanenstadt,4608,48.0550553,13.7747523,Oberösterreich,Austria,
Leonding,4592,48.2792644,14.2527882,Oberösterreich,Austria,
Altenmarkt im Pongau,4587,47.3783618,13.4231953,Salzburg,Austria,
Grieskirchen,4580,48.23587,13.82617,Oberösterreich,Austria,
Altmünster,4544,47.9011744,13.7678146,Oberösterreich,Austria,
Möllersdorf,4534,48.0295381,16.3042289,Niederösterreich,Austria,
Fieberbrunn,4525,47.47559,12.5457457,Tirol,Austria,
Neulengbach,4487,48.1994436,15.9088281,Niederösterreich,Austria,
Gmünd,4480,48.77156,14.98511,Niederösterreich,Austria,
Felixdorf,4474,47.881764,16.2411957,Niederösterreich,Austria,
