name,population,state,country,percentageOfSessions,latitude,longitude
Sarqant,17907,Almaty,Kazakhstan,null,45.4109229,79.9155159
Temırlan,17796,Turkıstan,Kazakhstan,null,42.5999908,69.2581088
Masantşi,17631,Jambyl,Kazakhstan,null,42.927032,75.306915
Jañaarqa,17420,Qarağandy,Kazakhstan,null,48.6861721,71.6355854
Ürjar,17296,Şyğys Qazaqstan,Kazakhstan,null,47.0992377,81.63478
Merke,17133,Jambyl,Kazakhstan,null,42.8713714,73.1738583
Keñdala,16878,Almaty,Kazakhstan,null,43.35238,77.23179
Balpyq Bi,16781,Almaty,Kazakhstan,null,44.901318,78.23307
Şetpe,16762,Mañğystau,Kazakhstan,null,44.1413139,52.1556413
Besağaş,16632,Almaty,Kazakhstan,null,43.29848,77.04125
Batyr,16621,Mañğystau,Kazakhstan,null,43.6292761,51.404417
Myrzakent,16550,Turkıstan,Kazakhstan,null,40.6654425,68.5499388
Irgelı,16450,Almaty,Kazakhstan,null,43.2351416,76.762335
Aqköl,16017,Aqmola,Kazakhstan,null,51.9956724,70.9560123
Teñge,15894,Mañğystau,Kazakhstan,null,43.312653,52.852253
İnderbor,15664,Atyrau,Kazakhstan,null,48.5610249,51.7478775
Saryözek,15359,Almaty,Kazakhstan,null,44.362385,77.974594
Bauyrjan Momyşūly,15284,Jambyl,Kazakhstan,null,42.618401,70.769516
Jalağaş,15106,Qyzylorda,Kazakhstan,null,45.0808963,64.6809179
Qūrmanğazy,14532,Atyrau,Kazakhstan,null,46.6051587,49.2783978
Kaztsik,14499,Almaty,Kazakhstan,null,43.381348,76.855621
Köksäiek,14304,Turkıstan,Kazakhstan,null,42.255844,69.976006
Asyqata,14245,Turkıstan,Kazakhstan,null,40.8964679,68.3666754
Şūbarqūdyq,14125,Aqtöbe,Kazakhstan,null,49.2042467,56.5637056
Qarasu,14119,Turkıstan,Kazakhstan,null,42.405922,69.801369
Qaramūrt,14058,Turkıstan,Kazakhstan,null,42.312393,69.972954
Erkın,13886,Almaty,Kazakhstan,null,45.028911,78.4187944
Maqat,13837,Atyrau,Kazakhstan,null,47.6471515,53.350528
Dossor,13806,Atyrau,Kazakhstan,null,47.522774,52.979435
Türgen,13805,Almaty,Kazakhstan,null,43.396721,77.593498
Krasnyi İar,13536,Aqmola,Kazakhstan,null,53.3265651,69.2643176
Jetıbai,13528,Mañğystau,Kazakhstan,null,43.5883652,52.1014626
Panfilov,13428,Almaty,Kazakhstan,null,43.3866882,77.1225103
Aqmol,13400,Aqmola,Kazakhstan,null,51.0714722,70.9811874
Derbısek,13347,Turkıstan,Kazakhstan,null,41.554444,69.359167
Taiynşa,13113,Soltustık Qazaqstan,Kazakhstan,null,53.847736,69.761436
Asa,12892,Jambyl,Kazakhstan,null,43.036049,71.151062
Kendırlı,12868,Mañğystau,Kazakhstan,null,43.3233898,52.9045851
Qarnaq,12860,Turkıstan,Kazakhstan,null,43.51741,68.347458
Besköl,12838,Soltustık Qazaqstan,Kazakhstan,null,54.775146,69.097794
Embı,12783,Aqtöbe,Kazakhstan,null,48.829453,58.147369
Ereimentau,12652,Aqmola,Kazakhstan,null,51.619881,73.103348
Japek batyr,12470,Almaty,Kazakhstan,null,43.4143123,76.8945813
Aqşūqyr,12279,Mañğystau,Kazakhstan,null,43.7831766,51.0605022
Novoişim,11964,Soltustık Qazaqstan,Kazakhstan,null,53.201904,66.7609529
Maqanşy,11929,Şyğys Qazaqstan,Kazakhstan,null,46.7903859,82.020632
