state,name,population,latitude,longitude,country,percentageOfSessions
Utrecht,Rozenboom,26675,52.1343497,5.4297521,Netherlands,
Noord-Holland,Uithoorn,26660,52.234135,4.8331801,Netherlands,
Zuid-Holland,Noordwijk,26355,52.2408195,4.4429903,Netherlands,
Noord-Brabant,Vught,26215,51.657251,5.2975953,Netherlands,
Zuid-Holland,Sliedrecht,26170,51.8174002,4.7724301,Netherlands,
Gelderland,Zevenaar,26165,51.9255735,6.077713,Netherlands,
Zeeland,Terneuzen,25755,51.3369454,3.8267606,Netherlands,
Zuid-Holland,Oegstgeest,25730,52.1844268,4.4757533,Netherlands,
Zuid-Holland,Voorschoten,25670,52.124663,4.4467499,Netherlands,
Noord-Brabant,Deurne,25500,51.4635395,5.791349,Netherlands,
Limburg,Landgraaf,25215,50.9067131,6.0346595,Netherlands,
Zuid-Holland,Oud-Beijerland,24340,51.8251411,4.4133227,Netherlands,
Noord-Brabant,Boxtel,24270,51.5893942,5.3188146,Netherlands,
Utrecht,Baarn,23635,52.2123967,5.2900078,Netherlands,
Noord-Brabant,Dongen,23615,51.6268797,4.9420995,Netherlands,
Gelderland,Winterswijk,23435,51.9715276,6.7183792,Netherlands,
Zuid-Holland,Nieuwerkerk aan den IJssel,23145,51.9700092,4.6054841,Netherlands,
Noord-Holland,Assendelft,23080,52.4678586,4.7382457,Netherlands,
Utrecht,Bilthoven,23045,52.1303415,5.2159985,Netherlands,
Noord-Holland,Heiloo,23040,52.5969494,4.7028769,Netherlands,
Gelderland,Ermelo,22960,52.3002179,5.6228917,Netherlands,
Zuid-Holland,Naaldwijk,22730,51.9932166,4.2100582,Netherlands,
Overijssel,Borne,22620,52.3006001,6.7548782,Netherlands,
Noord-Holland,Volendam,22585,52.4930812,5.0696191,Netherlands,
Zuid-Holland,Hillegom,22450,52.2919007,4.5793736,Netherlands,
Zuid-Holland,ʼs-Gravenzande,22310,52.0028,4.1606119,Netherlands,
Groningen,Hoogezand,22080,53.1644085,6.7540177,Netherlands,
Utrecht,De Meern,22010,52.0729914,5.0216415,Netherlands,
Flevoland,Urk,21840,52.6619098,5.5968544,Netherlands,
Gelderland,Duiven,21755,51.9493041,6.0210178,Netherlands,
Gelderland,Elst,21725,51.9198367,5.8455711,Netherlands,
Flevoland,Zeewolde,21665,52.3317271,5.5465555,Netherlands,
Zuid-Holland,Lisse,21545,52.2548663,4.5642706,Netherlands,
Utrecht,Bunschoten-Spakenburg,21425,52.2342929,5.3695718,Netherlands,
Gelderland,Nunspeet,21095,52.3756449,5.7749378,Netherlands,
Overijssel,Haaksbergen,21095,52.158722,6.7453614,Netherlands,
Noord-Holland,Weesp,21065,52.3067379,5.0424796,Netherlands,
Noord-Brabant,Valkenswaard,20985,51.3514223,5.4584553,Netherlands,
Noord-Brabant,Goirle,20895,51.5218028,5.0681387,Netherlands,
Noord-Brabant,Oisterwijk,20440,51.5799603,5.1944724,Netherlands,
Gelderland,Putten,20350,52.2599127,5.6055978,Netherlands,
Overijssel,Hardenberg,20300,52.5757317,6.6186321,Netherlands,
Zuid-Holland,Alblasserdam,20290,51.8660301,4.6662234,Netherlands,
Overijssel,Raalte,20095,52.3854252,6.2761137,Netherlands,
Groningen,Veendam,20025,53.1080895,6.8624705,Netherlands,
Noord-Brabant,Schijndel,20005,51.6188944,5.4369898,Netherlands,
Gelderland,Huissen,19715,51.9372076,5.9416496,Netherlands,
Noord-Holland,Castricum,19660,52.5449687,4.6674503,Netherlands,
Noord-Holland,Schagen,19110,52.787674,4.7979892,Netherlands,
Groningen,Stadskanaal,19065,52.9879465,6.9543581,Netherlands,
Zuid-Holland,Nootdorp,19020,52.0435995,4.3919347,Netherlands,
Zuid-Holland,Bodegraven,18905,52.0820634,4.7525339,Netherlands,
Noord-Brabant,Nuenen-Noord,18840,51.4769451,5.5451518,Netherlands,
Limburg,Hoensbroek,18790,50.9219925,5.9280175,Netherlands,
Noord-Holland,Enkhuizen,18760,52.7021944,5.291874,Netherlands,
Zuid-Holland,Bergschenhoek,18760,51.9863284,4.501757,Netherlands,
Noord-Brabant,Cuijk,18720,51.7279761,5.8801983,Netherlands,
Groningen,Winschoten,18655,53.1432863,7.0342267,Netherlands,
Utrecht,Driebergen,18635,52.0557342,5.2867098,Netherlands,
Utrecht,Leerdam,18635,51.8937192,5.0917758,Netherlands,
Groningen,Haren,18445,53.1725135,6.604403,Netherlands,
Noord-Brabant,Drunen,18315,51.6861015,5.1317528,Netherlands,
Gelderland,Velp,18285,52.0005055,5.9743476,Netherlands,
Utrecht,Wijk bij Duurstede,17980,51.9711013,5.3454401,Netherlands,
Noord-Holland,Naarden,17855,52.2959175,5.1627928,Netherlands,
Noord-Holland,Zwaag,17675,52.6643032,5.0713104,Netherlands,
Gelderland,Beuningen,17600,51.8630265,5.772247,Netherlands,
Overijssel,Steenwijk,17505,52.7868232,6.1164117,Netherlands,
Overijssel,Nijverdal,17165,52.3644616,6.460914,Netherlands,
Zuid-Holland,Rijnsburg,17115,52.1907434,4.4435797,Netherlands,
Utrecht,Vianen,16680,51.9946064,5.0918885,Netherlands,
Zuid-Holland,Boskoop,16680,52.0729399,4.6515341,Netherlands,
Noord-Brabant,Rijen,16665,51.5889676,4.9173472,Netherlands,
Noord-Holland,Krommenie,16530,52.4961579,4.767781,Netherlands,
Noord-Holland,Zandvoort,16510,52.3728864,4.5309979,Netherlands,
Zuid-Holland,Wateringen,16335,52.0239263,4.2757084,Netherlands,
Zuid-Holland,Voorhout,16200,52.2268533,4.4864936,Netherlands,
Utrecht,Mijdrecht,16080,52.2069842,4.8676459,Netherlands,
Zuid-Holland,Sassenheim,16010,52.2224779,4.5110044,Netherlands,
Noord-Brabant,Gemert,15800,51.5533222,5.683528,Netherlands,
Noord-Brabant,Vlijmen,15645,51.697029,5.2228313,Netherlands,
Noord-Brabant,Kaatsheuvel,15585,51.6611364,5.0339494,Netherlands,
Limburg,Tegelen,15190,51.3410365,6.1359288,Netherlands,
Zuid-Holland,Noordwijkerhout,15125,52.2623812,4.4947106,Netherlands,
Gelderland,Westervoort,15120,51.9607309,5.9702633,Netherlands,
Fryslân,Harlingen,15090,53.1776189,5.4214527,Netherlands,
Noord-Holland,Doorzwin,14980,52.8888762,4.7488779,Netherlands,
Noord-Holland,Velserbroek,14950,52.4329516,4.6624389,Netherlands,
Groningen,Delfzijl,14655,53.3320249,6.9259472,Netherlands,
Drenthe,Roden,14645,53.1372506,6.4271392,Netherlands,
Drenthe,Coevorden,14555,52.6623418,6.7407251,Netherlands,
Noord-Brabant,Zevenbergen,14485,51.6439628,4.6064674,Netherlands,
Noord-Holland,Badhoevedorp,14450,52.3392624,4.7850647,Netherlands,
Zuid-Holland,Monster,14410,52.0221019,4.1721336,Netherlands,
Zuid-Holland,Brielle,14145,51.9038308,4.1640792,Netherlands,
Gelderland,Bennekom,14130,52.0074897,5.6802906,Netherlands,
Zuid-Holland,Hardinxveld-Giessendam,13970,51.8260804,4.8335355,Netherlands,
Overijssel,Wierden,13950,52.3585356,6.5897301,Netherlands,
Gelderland,Twello,13865,52.2362971,6.1032515,Netherlands,
Noord-Brabant,Berkel-Enschot,13865,51.5914842,5.1427175,Netherlands,
Overijssel,Losser,13735,52.262517,6.999052,Netherlands,
Gelderland,Dieren,13590,52.0558159,6.0997871,Netherlands,
Zuid-Holland,Schoonhoven,13570,51.9461982,4.8528973,Netherlands,
Gelderland,Zaltbommel,13520,51.8125083,5.2495118,Netherlands,
Noord-Holland,Uitgeest,13475,52.5251141,4.7104221,Netherlands,
Gelderland,Epe,13420,52.349174,5.9844245,Netherlands,
Gelderland,Lent,13400,51.8645036,5.8620578,Netherlands,
Noord-Holland,Aalsmeer,13395,52.2701638,4.7513512,Netherlands,
Utrecht,Woudenberg,13395,52.0786251,5.4198323,Netherlands,
Limburg,Horst,13375,51.4520052,6.0538191,Netherlands,
Fryslân,Wolvega,13360,52.8761307,6.0021477,Netherlands,
Noord-Brabant,Son,13220,51.5128646,5.4908251,Netherlands,
Gelderland,Groesbeek,13200,51.7810071,5.934805,Netherlands,
Gelderland,Aalten,13185,51.9248036,6.5809909,Netherlands,
Noord-Holland,Wormer,13175,52.4972036,4.8194385,Netherlands,
Fryslân,Joure,13060,52.972107,5.7956355,Netherlands,
Noord-Brabant,Oudenbosch,13040,51.5912542,4.5288122,Netherlands,
Gelderland,Lichtenvoorde,13015,51.9872567,6.5689202,Netherlands,
Fryslân,Franeker,13010,53.1865607,5.5429014,Netherlands,
Fryslân,Dokkum,12970,53.3258929,5.9986096,Netherlands,
Overijssel,Vriezenveen,12965,52.406984,6.6294771,Netherlands,
