Name,Latitude,Longitude,Population
Valle del Risco,9.2255711,-82.4289111,1171
Loma Flores,9.1631253,-79.9647659,1169
El Cortezo,8.3480985,-80.5900938,1157
Paso Ancho,8.8147274,-82.623882,1156
San Andres,8.6040917,-82.7251643,1152
La Tiza,7.754822,-80.2880388,1150
La Estancia Mendoza,8.9142714,-79.7963161,1145
La Palma,7.6922067,-80.1904827,1144
Barriada Theobroma,9.4274735,-82.5732536,1139
El Cano,8.4123524,-80.5173995,1129
Finca 51,9.4930456,-82.5857635,1119
El Espino de Santa Rosa,8.0944231,-80.8195339,1113
Siogui Arriba,8.5437768,-82.6793429,1112
Los Anastacios,8.5329229,-82.4193591,1110
Pueblo Nuevo,8.8827671,-82.2068768,1109
La Enea,7.8321926,-80.2731887,1105
Paso Canoas Arriba,8.5651627,-82.8221464,1090
Celmira,8.5365864,-82.7987615,1087
Finca 33,9.4217149,-82.5571479,1084
El Valle de La Union,9.238,-79.6600452,1081
El Ejido,7.9173341,-80.3808043,1079
Tijeras,8.4723789,-82.5523072,1075
Potrerillos Arriba,8.6879814,-82.492694,1074
Urbanizacion Nuevo Amanecer,9.4022061,-82.4979975,1073
Rio Grande,8.4263808,-80.4855655,1070
Caimito,8.5487746,-82.423929,1066
Finca Blanco,8.3838388,-82.8754068,1063
Rio de Jesus,7.984029,-81.1614064,1060
Llano de Piedra,7.6656837,-80.5625136,1054
Aguas Blancas,8.4967712,-80.3118966,1053
San Felix,8.2909801,-81.8703554,1051
Entradero,8.5681259,-80.2107519,1049
Villa Carmen,8.8046012,-79.8691349,1043
El Uvito,8.1203596,-80.9840576,1037
Puente Negro,9.4900121,-82.604671,1032
Caimito,8.6263495,-80.2375101,1032
Chichica,8.3660118,-81.6679262,1026
San Lorenzo,8.3135266,-82.1084125,1025
Santa Ana Arriba,7.9329125,-80.3657917,1025
Mamitupu o Isla Mamey,9.1899277,-77.9739464,1020
Barrio Guadalupe,8.8687333,-82.5627718,1019
El Coco,8.3963843,-80.3569408,1017
Bagala,8.4705231,-82.5294437,1015
Llano Largo,7.9071713,-80.4238645,1013
Las Lajas,8.2451727,-81.8698562,1012
Agua Buena,7.8365091,-80.3968264,1012
Union de Azuero,9.1548239,-79.1606601,1004
Los Uveros,8.5324077,-80.395811,999
Nuevo Mexico 2,9.1697335,-79.5418749,999
El Cristo,8.2515659,-80.6151923,989
Colorado o Kilometro 32,8.4190701,-82.8393695,989
Vaquilla,8.6964438,-80.1991459,980
Rincon Largo,8.5323297,-82.4114369,979
Los Boquerones,8.0828832,-80.8506948,970
Santa Fe,8.5100873,-81.0781065,968
San Miguel,8.4557511,-78.9371665,967
Cerro Sombrero,8.3076426,-81.6795155,966
Los Canelos,8.1194482,-80.7103411,965
El Laguito,9.1684844,-79.5439498,964
Alto Quiel,8.8128676,-82.4751506,963
Cermeno,8.7430943,-79.8452741,962
Sajalices,8.6805357,-79.8702878,962
Wala,8.9864902,-78.0624126,955
Villas de La Alameda,8.9500116,-79.7237961,950
Llano de Santa Rosa,8.7605856,-79.8630929,944
Monagrillo de La Soledad,8.1306257,-80.982204,939
La Gloria,9.3373842,-82.4877491,930
Carti Sugtupu,9.4706925,-78.9610457,927
San Miguel Centro,8.7391064,-80.1710603,926
El Cocal,7.7403756,-80.2785299,926
Alto de La Estancia,8.5924914,-80.1788428,920
Palmira Centro,8.7438231,-82.4523106,920
El Choclo o Barriada 8 de Noviembre,7.7673139,-80.2829712,918
Finca 44,9.4783224,-82.4862018,917
Nuevo Chagres,9.2009329,-79.6334223,915
Nuevo Mexico 1,9.1660065,-79.541858,908
Mulatupu,8.947515,-77.7501675,906
Tinajas,8.5578695,-82.4622567,905
Horconcitos,8.3168388,-82.1457524,901
Rio Congo,8.9661518,-79.7598196,898
Mirya Ubigantupu o Soledad Miria,9.44653,-78.9001796,896
Paris,8.0506457,-80.5569851,894
Las Minas,7.7990795,-80.7460085,889
San Juan de Dios,9.1300829,-79.2197639,889
La Estrella,8.5199532,-82.6726193,885
Veladero,8.2360239,-81.6541445,885
Nuevo Guarare,8.944026,-79.7187456,885
Hato Viejo o El Valle,8.4245241,-82.3421193,884
Puerto Pina,7.5830811,-78.1782905,883
Querevalo,8.3741783,-82.5203767,882
La Candelaria,8.444308,-80.4928746,881
Pozo Azul,8.6416925,-80.2079403,880
Boca de Cupe,8.0337777,-77.5867371,877
Tubuala,8.9207826,-77.7238017,877
El Jagüito,8.1736121,-80.6854736,872
Nombre de Dios,9.5809655,-79.4701675,872
Las Ollas Arriba,8.8093554,-79.9063397,872
Nuevo Bambito,8.8154203,-82.6121718,870
Chuchupate,8.433829,-82.8643523,868
Bijagual,8.3720837,-80.2605988,865
Bocalatum,8.5908755,-82.5854818,864
Coclesito,8.8102653,-80.5559277,863
Canazas Abajo,8.1468211,-80.7193678,861
San Carlos,8.4760649,-79.9585587,857
Aguacatal,8.4644645,-82.4631254,856
Rio Sidra o Urgandi,9.4511952,-78.8329861,856
Coetupu o Isla Venado o Caledonia,8.9030937,-77.6956882,856
Gariche,8.4882765,-82.7784328,852
La Mata,8.0805704,-80.8860143,850
Pueblo Grande o Entrada de Sardinilla,9.2615562,-79.6655835,843
Jacu,8.483609,-82.8164131,840
Finca 64,9.4583947,-82.4950838,838
Santa Rosa,7.9488183,-80.7629843,837
Caimito,8.8120748,-79.9485019,836
Guaca Arriba,8.5495588,-82.4914359,834
Berba,8.3828199,-82.8097725,831
Remedios,8.2269329,-81.8304289,829
Canaveral,8.5180453,-80.4297953,827
Santa Maria,8.4549515,-82.8453888,827
Bella Vista,8.5484049,-80.4055491,823
Las Matas,8.3083528,-81.864925,823
Las Cruces,7.8255854,-80.4293038,823
Barriada 14 de Abril,9.5316248,-82.7202728,821
Las Lomas,8.5008372,-80.3828245,821
Las Palmitas,7.7670143,-80.2903431,821
El Barrero,7.933036,-80.5226156,820
Membrillo,8.5830979,-80.219582,818
Capeti o Capetuira,8.0600724,-77.5733054,815
San Valentin,8.3672495,-82.7795885,814
Zapallal,8.6527651,-78.1320363,813
Quebrada de Loro,8.3569485,-81.9223821,813
Cuervito Abajo,8.4697591,-82.840143,812
Lluvia de Bendiciones,8.9674946,-79.6890839,812
Rambala,8.929355,-82.1785104,808
Pena Blanca,7.7187411,-80.2835168,804
El Congo,8.443538,-80.420806,803
